date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:21	90184/90184	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bf2-16048%22	http://htmldemo.net/mirora/mirora/my-account.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/my-account.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:21	48144/48144	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bec-bc10%22	http://htmldemo.net/mirora/mirora/404.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/404.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:21	59499/59499	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bef-e86b%22	http://htmldemo.net/mirora/mirora/faq.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/faq.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:22	55437/55437	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bec-d88d%22	http://htmldemo.net/mirora/mirora/about.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/about.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:22	57228/57228	---MCZ	200	added ('OK')	text/html	etag:W/%22618c9bf1-df8c%22	http://htmldemo.net/mirora/mirora/contact.html	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/contact.html	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:24	7682/7682	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:14:21%20GMT	http://htmldemo.net/mirora/mirora/assets/img/banner/img1-top-mirora1.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/banner/img1-top-mirora1.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:25	9443/9443	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:14:22%20GMT	http://htmldemo.net/mirora/mirora/assets/img/banner/img2-top-mirora1.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/banner/img2-top-mirora1.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:25	7156/7156	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:14:23%20GMT	http://htmldemo.net/mirora/mirora/assets/img/banner/img3-top-mirora1.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/banner/img3-top-mirora1.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:27	48137/48137	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:14:21%20GMT	http://htmldemo.net/mirora/mirora/assets/img/slider/slider1-mirora1-1920x634.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/slider/slider1-mirora1-1920x634.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:28	11969/11969	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:14:24%20GMT	http://htmldemo.net/mirora/mirora/assets/img/products/1-450x450.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/products/1-450x450.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:29	16081/16081	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:14:25%20GMT	http://htmldemo.net/mirora/mirora/assets/img/products/2-450x450.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/products/2-450x450.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:31	20909/20909	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:14:26%20GMT	http://htmldemo.net/mirora/mirora/assets/img/products/3-450x450.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/products/3-450x450.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:31	19499/19499	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:14:27%20GMT	http://htmldemo.net/mirora/mirora/assets/img/products/3-3-450x450.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/products/3-3-450x450.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:31	16993/16993	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:14:28%20GMT	http://htmldemo.net/mirora/mirora/assets/img/products/4-450x450.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/products/4-450x450.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:32	72849/72849	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:14:21%20GMT	http://htmldemo.net/mirora/mirora/assets/img/slider/slider2-mirora1-1920x634.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/slider/slider2-mirora1-1920x634.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:33	18536/18536	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:14:30%20GMT	http://htmldemo.net/mirora/mirora/assets/img/products/4-4-450x450.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/products/4-4-450x450.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:33	13807/13807	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:14:31%20GMT	http://htmldemo.net/mirora/mirora/assets/img/products/5-450x450.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/products/5-450x450.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:34	13886/13886	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:14:31%20GMT	http://htmldemo.net/mirora/mirora/assets/img/products/5-5-450x450.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/products/5-5-450x450.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:35	14346/14346	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:14:31%20GMT	http://htmldemo.net/mirora/mirora/assets/img/products/6-450x450.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/products/6-450x450.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:36	14306/14306	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:14:32%20GMT	http://htmldemo.net/mirora/mirora/assets/img/products/6-6-450x450.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/products/6-6-450x450.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
14:14:36	13466/13466	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Dec%202023%2011:14:33%20GMT	http://htmldemo.net/mirora/mirora/assets/img/products/7-450x450.jpg	C:/WebSiteTemplate/WatchEcommerceTemp/htmldemo.net/mirora/mirora/assets/img/products/7-450x450.jpg	(from http://htmldemo.net/mirora/mirora/index.html)
